nctId,conditions,classification
NCT04700319,CAR,others
NCT06665295,CAR T-Cell Therapy,others
NCT06343090,"B-cell Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, in Relapse, Refractory Acute Lymphoid Leukemia",blood cancer
NCT06904729,Lupus Nephritis,others
NCT03960060,"Solid Tumor, Soft Tissue Sarcoma, Gastric Cancer, Pancreatic Cancer, Bladder Cancer",solid tumor
NCT04158011,Acute Lymphoblastic Leukemia,blood cancer
NCT05219721,"Relapsed/Refractory Multiple Myeloma, Plasma Cell Leukemia",blood cancer
NCT06886919,Difficult to Treat Systemic Lupus Erythematosus,others
NCT04160195,"Lymphoma, B-Cell, Lymphoma, Non-hodgkins, Chronic Lymphocytic Leukemia, B-Cell Chronic Lymphocytic Leukemia",blood cancer
NCT06917105,"Myeloid Malignancies, CAR-T",blood cancer
NCT02664363,"Glioblastoma, Gliosarcoma",solid tumor
NCT04923919,Acute Myeloid Leukemia,blood cancer
NCT04162340,"T Cell Lymphoma in Relapse, Refractory T-Cell Lymphoma",blood cancer
NCT05098613,Non-Hodgkin Lymphoma,blood cancer
NCT04887012,B-cell Non Hodgkin Lymphoma,blood cancer
NCT05366257,Diffuse Large B-cell Lymphoma (DLBCL),blood cancer
NCT06647329,"CAR-T Cell Therapy, Lymphomas",blood cancer
NCT05440409,"Leukemia, Acute Lymphoblastic, Lymphoblastic Leukemia, Acute, Childhood",blood cancer
NCT04204161,"Relapsed B-cell Acute Lymphoblastic Leukemia, Childhood, Refractory B-cell Acute Lymphoblastic Leukemia, Childhood, Relapsed/Refractory B-cell Lymphoma, Childhood",blood cancer
NCT05759793,"Relapsed/Refractory Multiple Myeloma, Plasma Cell Leukemia",blood cancer
NCT06513429,Refractory Systemic Lupus Erythematosus,others
NCT06572956,"Safety and Efficacy of Cellular Drugs, Objective Response Rate of Subjects, Etc",others
NCT06850285,"Lymphoma, B-Cell",blood cancer
NCT03672253,"Multiple Myeloma, Multiple Myeloma in Relapse, Multiple Myeloma Progression",blood cancer
NCT03283631,"Recurrent Glioblastoma, Recurrent Gliosarcoma",solid tumor
NCT05650749,"Refractory Neuroblastoma, Relapsed Neuroblastoma, High-risk Neuroblastoma",others
NCT05585996,Relapsed and Refractory B-cell Lymphoma,blood cancer
NCT06596057,Safety and Efficacy,others
NCT03881774,"Refractory, Relapsed, B Cell Lymphoma, B Cell Leukemia",blood cancer
NCT04863066,HIV-1,others
NCT05618041,"Acute Lymphoblastic Leukemia, Lymphoma, Multiple Myeloma",blood cancer
NCT06756321,"Relapsed/refractory Lymphoma, Relapsed/Refractory Leukemia",blood cancer
NCT05243212,"Multiple Myeloma, Relapse Multiple Myeloma",blood cancer
NCT02723942,"GPC3 Positive Hepatocellular Carcinoma, CAR-T Cell Immunotherapy",solid tumor
NCT06903117,Advanced Lung Cancer,solid tumor
NCT06735495,B-Cell Lymphoblastic Leukemia/Lymphoma,blood cancer
NCT05577091,Recurrent Glioblastoma,solid tumor
NCT04706936,Relapsed or Refractory Multiple Myeloma,blood cancer
NCT06821048,"Colorectal Cancer, Stomach Cancer, Esophageal Cancer, Pancreatic Cancer, Metastatic Cancer, Recurrent Cancer",solid tumor
NCT06326008,"B-cell Acute Lymphoblastic Leukemia, Acute Lymphoblastic Leukemia, in Relapse",blood cancer
NCT06768151,Advanced Lung Cancer,solid tumor
NCT04795882,Multiple Myeloma,blood cancer
NCT05370547,Non Hodgkin's Lymphoma,blood cancer
NCT06215950,"Ovarian Cancer, Cervix Cancer, Metastatic Cancer, Advanced Cancer, Gynecologic Cancer",solid tumor
NCT04280133,"Hematologic Malignancy, CAR-T Cell Therapy",blood cancer
NCT05362331,"Lymphoma, Leukemia, Plasma Cell Dyscrasia",blood cancer
NCT06010862,"Gastric Cancer, Colon Cancer, Pancreas Cancer, Esophagus Cancer, Cholangiocarcinoma, Lung Cancer, Breast Cancer",solid tumor
NCT06698484,Relapsed/Refractory B- Cell Non-Hodgkin Lymphoma,blood cancer
NCT05528887,"Relapsed/Refractory Hematological Malignancies, Lymphoma, Myeloma, Leukemia",blood cancer
NCT05472558,B-cell Non Hodgkin Lymphoma,blood cancer
NCT06010875,"Renal Cell Carcinoma, Ovarian Cancer, Cervix Cancer, Metastatic Cancer, Advanced Cancer",solid tumor
NCT04796441,AML,others
NCT05563545,Acute Lymphoblastic Leukemia,blood cancer
NCT04556669,"Solid Tumor, Adult, Cervical Cancer, Sarcoma, NSCLC",solid tumor
NCT03638167,"Central Nervous System Tumor, Pediatric, Glioma, Ependymoma, Medulloblastoma, Germ Cell Tumor, Atypical Teratoid/Rhabdoid Tumor, Primitive Neuroectodermal Tumor, Choroid Plexus Carcinoma, Pineoblastoma",solid tumor
NCT05846347,CAR-T,others
NCT06420076,"T Cell Lymphoma, T Cell Leukemia, T-cell Acute Lymphoblastic Leukemia, T-Cell Lymphoma of CNS, T Cell Prolymphocytic Leukemia, T Cell Childhood ALL",blood cancer
NCT03954106,"DLBCL, Neurotoxicity Syndromes",others
NCT06006390,"Gastric Cancer, Colon Cancer, Rectal Cancer, Esophageal Cancer, Pancreas Cancer, Lung Cancer, Breast Cancer",solid tumor
NCT06326021,Refractory/Relapsed Acute Myeloid Leukaemia,blood cancer
NCT04766840,AML,others
NCT06503094,B-Cell Lymphoblastic Leukemia/Lymphoma,blood cancer
